company_id,employee_count,follower_count,time_recorded
721189,1786,13210,1712349601
10378739,9,31,1712350569
348976,29,1472,1712351756
10104312,6,112,1712363661
93400454,0,11,1712368356
18344349,23,3123,1712372441
4273342,23,137,1712437141
1832363,18,101,1712439783
53812339,3,1,1712440767
28631247,1,3,1712459311
6482450,10,66,1712459385
167757,73,37938,1712637940
10510386,1551,178491,1712648362
14560773,17,1858,1712653919
10510386,1550,178546,1712670678
74748093,28,1571,1712671943
4285947,11,16,1712673783
14798,2291,49702,1712856403
55624331,6,289,1712856403
11825661,129,4018,1712857903
93456,129,5458,1712858593
99212509,1,2,1712859797
81942316,11,447,1712861202
103060,420,4810,1712862667
80316732,23,171,1712865738
2695283,14,1463,1712865870
75865873,7,19,1712889394
766262,222,2427,1712897299
1004269,20,238,1712900762
10510386,1545,179138,1712903384
53824769,15,12,1713209983
721189,1791,13274,1713210433
1194336,72,1490,1713214042
988555,39,2054,1713237201
35690006,8,74,1713239694
14798,2292,49745,1713278346
64896719,15,40,1713279321
2737686,85,1532,1713281140
76987056,2,67,1713284137
4033304,20,56,1713395093
1102521,150,12645,1713399370
2610793,85,18759,1713402001
2774458,402,2351,1713409275
9900162,38,22,1713409661
11238451,15,751,1713413447
3857972,2,22,1713416029
81247311,12,39,1713449326
4028816,40,151,1713459785
1481176,22,7825,1713459851
166875,11042,221416,1713462780
8577252,16,1880,1713464539
5079435,145,1012,1713465475
3810432,337,2098,1713466540
23674217,38,13577,1713467554
255252,75,5046,1713469224
10213128,172,1044,1713469837
11008179,7,468,1713470660
6556800,26,235,1713471676
27169808,3,6,1713474187
721189,1793,13313,1713479354
65104812,11,411,1713479787
40653883,66,1385,1713489899
99090758,0,87,1713493965
69611476,1,5,1713493965
16154524,32,1413,1713509169
10510386,1542,185086,1713515072
59147406,3,1,1713530221
46713,266,3730,1713533384
19173111,3,106,1713535120
27097933,7,8286,1713537476
14773918,4,70,1713551238
8849197,32,382,1713554290
76256528,4,67,1713554950
1051897,5,181,1713565645
