job_id,skill_abr
1218575,HCPR
2957460032,MGMT
2957460032,MNFC
358267047,MGMT
358267047,MNFC
2934066464,OTHR
974774701,MRKT
974774701,SALE
1448163866,ADM
243731357,LGL
606178500,OTHR
112576855,MGMT
112576855,MNFC
2264355,DSGN
2264355,ART
2264355,IT
231010577,MGMT
231010577,MNFC
56924323,ENG
1219205895,HR
2747409392,ENG
2747409392,IT
2914254129,MGMT
2914254129,MNFC
117675818,HCPR
2826285517,EDU
2826285517,TRNG
95428182,ADM
1586552873,SALE
1586552873,FIN
1586552873,RSCH
1829192,HCPR
11009123,DSGN
11009123,ART
11009123,IT
103254301,DSGN
103254301,ART
103254301,IT
935210241,LGL
2314566469,ENG
2314566469,IT
23221523,OTHR
2147609789,FIN
2147609766,SALE
2147609766,BD
2147609754,OTHR
2147609929,MGMT
2147609929,MNFC
2147609785,FIN
2147609785,SALE
2147609816,MGMT
2147609816,MNFC
2147609712,HCPR
2147609835,MGMT
2147609835,MNFC
2147609840,MGMT
2147609840,MNFC
2147609774,HCPR
2147609858,HCPR
805229245,SALE
805229245,BD
1129235875,SALE
1129235875,BD
115639136,ACCT
115639136,MGMT
115639136,HR
844454682,MGMT
844454682,PRJM
1143359956,SALE
1143359956,BD
1826257634,SALE
1826257634,BD
10998357,MGMT
10998357,MNFC
175485704,ENG
175485704,IT
2195921577,OTHR
228003844,OTHR
921716,MRKT
921716,SALE
345332937,MGMT
345332937,MNFC
1093227543,SALE
1093227543,MRKT
1093227543,PRDM
2011147642,IT
368586246,HCPR
35982263,IT
111513530,MRKT
111513530,PR
111513530,WRT
91700727,PRJM
280496925,EDU
280496925,TRNG
266566927,ADM
134286190,MGMT
134286190,MNFC
263583866,HCPR
83789755,OTHR
136743465,LGL
2954591060,MRKT
2954591060,SALE
1014822088,MRKT
1014822088,SALE
2748500131,MGMT
2748500131,MNFC
258868844,SALE
258868844,BD
121605673,HCPR
2974397965,MRKT
2974397965,SALE
705356075,SALE
705356075,CNSL
2838336689,ADM
2558399667,MNFC
2558399667,IT
2558399667,QA
658723396,FIN
658723396,PROD
658723396,SALE
634823509,MGMT
634823509,MNFC
2269442456,ENG
2269442456,IT
2234533717,ENG
2234533717,IT
2737009242,CUST
2737009242,IT
1880409118,HCPR
2428973832,ACCT
2428973832,FIN
2457183642,QA
2457183642,PRJM
857299959,IT
857299959,CUST
857299959,SALE
196406165,FIN
196406165,SALE
133130219,ENG
133130219,IT
69333422,MRKT
69333422,SALE
229924287,ADM
1573178251,MRKT
1573178251,SALE
445337908,MGMT
445337908,MNFC
2790549389,SALE
2790549389,BD
2372177891,FIN
2372177891,SALE
