salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
477,2957460032,40.0,,25.0,HOURLY,USD,BASE_SALARY
3901,1448163866,70000.0,,65000.0,YEARLY,USD,BASE_SALARY
3936,606178500,135000.0,,105000.0,YEARLY,USD,BASE_SALARY
3980,112576855,120000.0,,90000.0,YEARLY,USD,BASE_SALARY
4060,2264355,,350.0,,MONTHLY,USD,BASE_SALARY
4794,1219205895,140000.0,,120000.0,YEARLY,USD,BASE_SALARY
6742,2914254129,60000.0,,55000.0,YEARLY,USD,BASE_SALARY
7640,95428182,,25.0,,HOURLY,USD,BASE_SALARY
8059,1829192,50.0,,30.0,HOURLY,USD,BASE_SALARY
8314,266825034,65000.0,,60000.0,YEARLY,USD,BASE_SALARY
8609,103254301,300000.0,,60000.0,YEARLY,USD,BASE_SALARY
9384,2920450495,75000.0,,55000.0,YEARLY,USD,BASE_SALARY
11204,23221523,175000.0,,140000.0,YEARLY,USD,BASE_SALARY
11687,2404832493,26.0,,23.0,HOURLY,USD,BASE_SALARY
11961,2147609766,150000.0,,70000.0,YEARLY,USD,BASE_SALARY
11973,2147609712,,56.41,,HOURLY,USD,BASE_SALARY
11983,2147609840,25.0,,20.0,HOURLY,USD,BASE_SALARY
12238,805229245,165000.0,,110000.0,YEARLY,USD,BASE_SALARY
14044,1143359956,85000.0,,75000.0,YEARLY,USD,BASE_SALARY
14330,1826257634,25.0,,19.0,HOURLY,USD,BASE_SALARY
14949,10998357,65000.0,,45000.0,YEARLY,USD,BASE_SALARY
15175,2796728000,40.0,,28.0,HOURLY,USD,BASE_SALARY
15378,227832999,24.0,,18.0,HOURLY,USD,BASE_SALARY
18531,921716,20.0,,17.0,HOURLY,USD,BASE_SALARY
18842,1093227543,120000.0,,60000.0,YEARLY,USD,BASE_SALARY
20245,1183148438,77000.0,,45000.0,YEARLY,USD,BASE_SALARY
20809,35982263,80000.0,,60000.0,YEARLY,USD,BASE_SALARY
22209,91700727,20.0,,14.0,HOURLY,USD,BASE_SALARY
23764,280496925,4817.0,,4061.0,MONTHLY,USD,BASE_SALARY
24698,266566927,75000.0,,55000.0,YEARLY,USD,BASE_SALARY
25578,2954591060,28.0,,25.0,HOURLY,USD,BASE_SALARY
25947,1014822088,80000.0,,70000.0,YEARLY,USD,BASE_SALARY
26061,2748500131,154398.4,,131227.2,YEARLY,USD,BASE_SALARY
26474,2974397965,85000.0,,75000.0,YEARLY,USD,BASE_SALARY
27239,705356075,28.0,,24.0,HOURLY,USD,BASE_SALARY
29720,2558399667,70.0,,60.0,HOURLY,USD,BASE_SALARY
31944,2737009242,90000.0,,80000.0,YEARLY,USD,BASE_SALARY
34449,103860943,19.0,,18.0,HOURLY,USD,BASE_SALARY
34712,857299959,90000.0,,40000.0,YEARLY,USD,BASE_SALARY
36524,229924287,,23.0,,HOURLY,USD,BASE_SALARY
36984,445337908,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
