cluster_id,cluster_label,top_terms,top_skills,n_jobs
0,C00 | care / patient / nursing,care; patient; nursing,health care provider; other; management; information technology; manufacturing; administrative; sales; engineering,1036
1,C01 | job / required / company,job; required; company,management; manufacturing; other; information technology; sales; engineering; administrative; business development,1170
2,C02 | project / management / construction,project; management; construction,information technology; project management; engineering; management; manufacturing; sales; other; human resources,1157
3,C03 | data / marketing / business,data; marketing; business,information technology; marketing; engineering; sales; analyst; research; business development; other,1179
4,C04 | maintenance / equipment / electrical,maintenance; equipment; electrical,manufacturing; management; information technology; engineering; other; production; quality assurance; supply chain,578
5,C05 | accounting / financial / tax,accounting; financial; tax,accounting/auditing; finance; sales; analyst; consulting; management; administrative; other,399
6,C06 | care / health / students,care; health; students,health care provider; other; education; training; information technology; research; analyst; sales,836
7,C07 | clients / customer / client,clients; customer; client,sales; finance; administrative; other; management; legal; business development; customer service,1038
8,C08 | sales / business / customer,sales; business; customer,sales; business development; customer service; marketing; management; information technology; other; consulting,818
9,C09 | food / guest / guests,food; guest; guests,management; manufacturing; other; sales; business development; information technology; customer service; health care provider,371
10,C10 | store / sales / customer,store; sales; customer,sales; business development; management; customer service; other; manufacturing; general business; marketing,631
11,C11 | design / software / engineer,design; software; engineer,information technology; engineering; design; consulting; other; analyst; art/creative; sales,787
